07/03/2005	364.42	0.537944444	3.26	1.078438356	3.72	0.281616438	3.32
08/03/2005	364	0.572222222	3.28	1.060273973	3.71	0.254863014	3.29
09/03/2005	370.5	0.525	3.26	1.012328767	3.68	0.232465753	3.26
11/03/2005	379.12	0.527111111	3.26	1.015287671	3.68	0.201205479	3.23
14/03/2005	371.92	0.520166667	3.25	1.013917808	3.68	0.20969863	3.24
15/03/2005	368.08	0.527333333	3.26	0.991287671	3.66	0.249205479	3.28
16/03/2005	376	0.544166667	3.26	0.961643836	3.64	0.231506849	3.26
18/03/2005	373	0.594555556	3.29	0.967123288	3.65	0.276712329	3.31
21/03/2005	362.45	0.686388889	3.33	0.974109589	3.65	0.296369863	3.33
22/03/2005	356	0.771666667	3.38	0.983561644	3.66	0.298630137	3.34
23/03/2005	365.5	0.652777778	3.32	0.943835616	3.63	0.302054795	3.34
24/03/2005	376.5	0.558333333	3.27	0.916438356	3.61	0.266438356	3.3
28/03/2005	385.05	0.530277778	3.26	0.897945205	3.6	0.28760274	3.32
29/03/2005	388.05	0.521944444	3.25	0.892191781	3.6	0.302671233	3.34
30/03/2005	372	0.586111111	3.29	0.942465753	3.63	0.31369863	3.35
31/03/2005	375	0.616666667	3.3	0.967123288	3.65	0.323287671	3.36
01/04/2005	372.45	0.630833333	3.31	0.943972603	3.63	0.306232877	3.35
04/04/2005	372.5	0.545944444	3.27	0.938356164	3.63	0.315753425	3.36
05/04/2005	374	0.702777778	3.34	1.007945205	3.68	0.294520548	3.33
06/04/2005	375	0.769444444	3.37	0.956164384	3.64	0.278424658	3.31
07/04/2005	374	0.763888889	3.37	0.964383562	3.65	0.295205479	3.33
08/04/2005	377	0.877777778	3.43	0.926027397	3.62	0.287671233	3.32
12/04/2005	374	0.760166667	3.37	0.956164384	3.64	0.332191781	3.37
13/04/2005	373.38	0.789555556	3.38	1.031835616	3.69	0.324136986	3.37
15/04/2005	360.5	0.866666667	3.42	1.069863014	3.72	0.341780822	3.39
18/04/2005	347.5	0.847222222	3.41	1.102739726	3.74	0.352739726	3.4
19/04/2005	341.02	0.971277778	3.47	1.120493151	3.75	0.378054795	3.43
20/04/2005	346.5	0.927777778	3.45	1.146575342	3.77	0.376027397	3.42
21/04/2005	345	0.955555556	3.46	1.199726027	3.8	0.35890411	3.4
22/04/2005	345	0.983333333	3.48	1.194520548	3.8	0.375342466	3.42
25/04/2005	341.98	1.127055556	3.55	1.241150685	3.83	0.390438356	3.44
26/04/2005	344.98	1.069555556	3.52	1.18909589	3.8	0.396054795	3.45
27/04/2005	333.55	1.313611111	3.64	1.206712329	3.81	0.40609589	3.46
28/04/2005	328	1.291666667	3.63	1.268493151	3.85	0.424657534	3.48
29/04/2005	321	1.535277778	3.75	1.323287671	3.89	0.435547945	3.49
02/05/2005	320	1.5	3.73	1.287671233	3.86	0.44109589	3.5
03/05/2005	316.88	1.467333333	3.71	1.268958904	3.85	0.438726027	3.49
04/05/2005	318.75	1.559722222	3.76	1.22260274	3.82	0.453767123	3.51
05/05/2005	328.98	1.589	3.77	1.104164384	3.74	0.400027397	3.45
06/05/2005	336	1.443055556	3.7	1.105205479	3.74	0.416438356	3.47
09/05/2005	315	1.571	3.76	1.139726027	3.76	0.408287671	3.46
10/05/2005	335	1.458333333	3.71	1.101369863	3.74	0.472876712	3.53
11/05/2005	327.5	1.430833333	3.7	1.102739726	3.74	0.448630137	3.51
12/05/2005	326	1.695	3.82	1.175342466	3.79	0.443835616	3.5
13/05/2005	329.5	1.738888889	3.85	1.097260274	3.73	0.413013699	3.47
16/05/2005	332.5	1.747222222	3.85	1.049589041	3.7	0.437671233	3.49
17/05/2005	339	2	3.97	1.112054795	3.74	0.473561644	3.53
19/05/2005	340	1.872222222	3.91	1.131506849	3.76	0.47260274	3.53
20/05/2005	342.5	1.901388889	3.92	1.171232877	3.78	0.482876712	3.54
23/05/2005	343	1.727777778	3.84	1.179589041	3.79	0.482191781	3.54
24/05/2005	340.5	1.772222222	3.86	1.168493151	3.78	0.486986301	3.55
25/05/2005	345	1.910944444	3.93	1.126027397	3.75	0.454931507	3.51
26/05/2005	357.5	1.638888889	3.8	1.12739726	3.76	0.496575342	3.56
30/05/2005	357.5	1.716666667	3.83	1.146575342	3.77	0.48630137	3.55
31/05/2005	361.5	1.672222222	3.81	1.097260274	3.73	0.447260274	3.5
01/06/2005	360.5	1.677777778	3.82	1.149041096	3.77	0.42260274	3.48
02/06/2005	364.95	1.583611111	3.77	1.161780822	3.78	0.472671233	3.53
06/06/2005	364.4	1.613888889	3.78	1.215342466	3.81	0.414520548	3.47
07/06/2005	357.52	1.708222222	3.83	1.239671233	3.83	0.46230137	3.52
08/06/2005	363	1.736777778	3.84	1.208219178	3.81	0.461643836	3.52
09/06/2005	360	1.770555556	3.86	1.205479452	3.81	0.475342466	3.54
10/06/2005	355	1.779611111	3.87	1.216438356	3.81	0.471232877	3.53
14/06/2005	362.7	1.7765	3.86	1.199589041	3.8	0.516712329	3.58
15/06/2005	363	1.730555556	3.84	1.205479452	3.81	0.482260274	3.54
16/06/2005	370	1.736111111	3.84	1.421917808	3.95	0.464452055	3.52
17/06/2005	362.5	1.763888889	3.86	1.264383562	3.85	0.458219178	3.52
